CITY                                   ZIPCODE P       RENT ESTIMATE ASKING   PCT                                          PROP_ID  
LAKE HELEN                               32744 B       9.33     $907     $950 95%                                           511976  
                                         32744 C       9.33     $715     $650 110%                                          536570  
                                                                                                                                    
MAITLAND                                 32751 A      11.44   $1,338   $1,200 111%                                          935938  
                                         32751 A      11.44   $1,338   $1,100 122%                                          935920  
                                         32751 B      11.44   $1,462   $1,600 91%                                           935735  
                                         32751 B      11.44   $1,726   $1,475 117%                                          938575  
                                         32751 B      11.44   $2,289   $1,600 143%                                          938558  
                                         32751 B      11.44   $1,812   $2,400 76%                                           950731  
                                         32751 B      11.44   $1,716   $1,500 114%                                          938527  
                                         32751 C      11.44   $1,556   $2,150 72%                                          1083307  
                                         32751 C      11.44   $2,218   $2,400 92%                                          1082841  
                                         32751 C      11.44   $1,974   $2,200 90%                                          1082737  
                                         32751 C      11.44   $3,384   $3,950 86%                                          1082553  
                                         32751 C      11.44   $4,543   $1,250 363%                                          949760  
                                         32751 C      11.44   $1,026     $900 114%                                          949633  
                                         32751 C      11.44   $1,504   $1,900 79%                                           936731  
                                         32751 C      11.44   $2,524   $2,975 85%                                          1084664  
                                         32751 C      11.44   $1,785   $2,195 81%                                          1083631  
                                         32751 C      11.44   $1,714   $1,950 88%                                          1083519  
                                                                                                                                    
MELBOURNE                                32901 A      10.39   $1,016     $925 110%                                          358064  
                                         32901 B      10.39   $1,655   $1,100 150%                                          355813  
                                         32901 B      10.39   $1,118   $1,050 106%                                          346607  
                                         32904 A      10.39   $1,142     $890 128%                                          272818  
                                         32904 B      10.39   $1,754   $1,450 121%                                          360715  
                                         32904 B      10.39   $1,669   $1,300 128%                                          343659  
                                         32904 B      10.39   $1,739   $1,375 127%                                          346144  
                                         32904 B      10.39   $2,645   $1,500 176%                                          346715  
                                         32904 B      10.39   $1,560   $1,700 92%                                           318385  
                                         32934 B      10.39   $1,379   $1,250 110%                                          269317  
                                         32935 A      10.39   $2,466   $2,800 88%                                           305403  
                                         32935 A      10.39   $1,025     $850 121%                                          304698  
                                         32935 A      10.39   $1,016     $800 127%                                          276063  
                                         32935 A      10.39   $5,791   $5,000 116%                                          303624  
                                         32935 B      10.39   $1,043     $975 107%                                          306951  
                                         32935 B      10.39     $507     $650 78%                                           296881  
                                         32935 B      10.39     $744     $900 83%                                           298308  
                                         32935 C      10.39   $1,086     $850 128%                                          298896  
                                         32935 C      10.39     $748     $800 94%                                           258999  
                                         32935 C      10.39     $673     $900 75%                                           283007  
                                         32940 A      10.39     $883     $825 107%                                          211192  
                                         32940 A      10.39     $942     $875 108%                                          210947  
                                         32940 A      10.39     $651     $775 84%                                           241357  
                                         32940 B      10.39   $1,002     $950 105%                                          231067  
                                         32940 B      10.39   $1,526   $1,500 102%                                          248240  
                                         32940 B      10.39   $1,391   $1,450 96%                                           247393  
                                         32940 B      10.39   $2,273   $2,200 103%                                          246530  
                                         32940 B      10.39   $1,758   $1,450 121%                                          245136  
                                         32940 B      10.39   $1,583   $1,350 117%                                          240371  
                                         32940 B      10.39   $1,212   $1,249 97%                                           234232  
                                         32940 B      10.39   $1,448   $1,425 102%                                          230911  
                                         32940 B      10.39   $1,784   $1,800 99%                                           228060  
                                         32940 B      10.39   $1,565   $1,400 112%                                          246959  
                                                                                                                                    
