SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
162,12,000,53575,00000,00000,Oviedo city,Florida,33342,33342,33381,33528
162,12,000,53800,00000,00000,Pahokee city,Florida,5649,5649,5660,5712
162,12,000,53875,00000,00000,Palatka city,Florida,10558,10558,10547,10514
162,12,000,54000,00000,00000,Palm Bay city,Florida,103190,103190,103278,103227
162,12,000,54025,00000,00000,Palm Beach town,Florida,8348,8348,8366,8445
162,12,000,54075,00000,00000,Palm Beach Gardens city,Florida,48452,48452,48556,49010
162,12,000,54150,00000,00000,Palm Beach Shores town,Florida,1142,1142,1144,1155
162,12,000,54200,00000,00000,Palm Coast city,Florida,75180,75176,75430,76499
162,12,000,54250,00000,00000,Palmetto city,Florida,12606,12606,12629,12774
162,12,000,54275,00000,00000,Palmetto Bay village,Florida,23410,23410,23473,23964
162,12,000,54425,00000,00000,Palm Shores town,Florida,900,900,900,900
162,12,000,54450,00000,00000,Palm Springs village,Florida,18928,18976,19016,19195
162,12,000,54700,00000,00000,Panama City city,Florida,36484,36484,36576,36686
162,12,000,54725,00000,00000,Panama City Beach city,Florida,12018,12018,12050,12092
162,12,000,55075,00000,00000,Parker city,Florida,4317,4317,4329,4343
162,12,000,55125,00000,00000,Parkland city,Florida,23962,23960,24017,24404
162,12,000,55475,00000,00000,Paxton town,Florida,644,644,648,654
162,12,000,55750,00000,00000,Pembroke Park town,Florida,6102,6102,6116,6214
162,12,000,55775,00000,00000,Pembroke Pines city,Florida,154750,154750,155109,157594
162,12,000,55875,00000,00000,Penney Farms town,Florida,749,749,751,754
162,12,000,55925,00000,00000,Pensacola city,Florida,51923,51923,51986,52197
162,12,000,56150,00000,00000,Perry city,Florida,7017,6987,6990,7030
162,12,000,56425,00000,00000,Pierson town,Florida,1736,1736,1735,1738
162,12,000,56625,00000,00000,Pinecrest village,Florida,18223,18223,18273,18657
162,12,000,56975,00000,00000,Pinellas Park city,Florida,49079,49104,49087,49150
162,12,000,57425,00000,00000,Plantation city,Florida,84955,84955,85154,86524
162,12,000,57550,00000,00000,Plant City city,Florida,34721,34714,34833,35817
162,12,000,57950,00000,00000,Polk City town,Florida,1562,1562,1564,1580
162,12,000,58025,00000,00000,Pomona Park town,Florida,912,912,911,908
162,12,000,58050,00000,00000,Pompano Beach city,Florida,99845,99845,100070,101617
162,12,000,58175,00000,00000,Ponce de Leon town,Florida,598,598,596,598
162,12,000,58200,00000,00000,Ponce Inlet town,Florida,3032,3032,3033,3034
162,12,000,58575,00000,00000,Port Orange city,Florida,56048,56505,56512,56529
162,12,000,58600,00000,00000,Port Richey city,Florida,2671,2671,2675,2681
162,12,000,58675,00000,00000,Port St. Joe city,Florida,3445,3445,3444,3440
162,12,000,58715,00000,00000,Port St. Lucie city,Florida,164603,164603,165166,166149
162,12,000,59200,00000,00000,Punta Gorda city,Florida,16641,16641,16657,16697
162,12,000,59325,00000,00000,Quincy city,Florida,7972,7973,7979,7933
