SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
162,12,0,62625,0,0,St. Cloud,CITY,Florida,35183,35183,35322,36163
162,12,0,62775,0,0,St. Leo,TOWN,Florida,1340,1340,1340,1340
162,12,0,62800,0,0,St. Lucie Village,TOWN,Florida,590,590,592,595
162,12,0,62825,0,0,St. Marks,CITY,Florida,293,293,294,296
162,12,0,62885,0,0,St. Pete Beach,CITY,Florida,9346,9346,9343,9355
162,12,0,63000,0,0,St. Petersburg,CITY,Florida,244769,244769,244683,244997
162,12,0,63375,0,0,San Antonio,CITY,Florida,1138,1138,1140,1142
162,12,0,63650,0,0,Sanford,CITY,Florida,53570,53633,53695,53926
162,12,0,63700,0,0,Sanibel,CITY,Florida,6469,6469,6487,6602
162,12,0,64175,0,0,Sarasota,CITY,Florida,51917,51983,52060,52341
