SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
162,12,000,33450,00000,00000,Indian Harbour Beach city,Florida,8225,8225,8227,8205,8249
162,12,000,33600,00000,00000,Indian River Shores town,Florida,3901,3899,3903,3917,3967
162,12,000,33625,00000,00000,Indian Rocks Beach city,Florida,4113,4113,4111,4118,4140
162,12,000,33675,00000,00000,Indian Shores town,Florida,1420,1420,1419,1422,1429
162,12,000,33800,00000,00000,Inglis town,Florida,1325,1325,1324,1313,1313
162,12,000,33900,00000,00000,Interlachen town,Florida,1403,1403,1400,1395,1380
162,12,000,33950,00000,00000,Inverness city,Florida,7210,7272,7269,7195,7172
162,12,000,34132,00000,00000,"Islamorada, Village of Islands village",Florida,6119,6117,6133,6199,6279
162,12,000,35000,00000,00000,Jacksonville city,Florida,821784,821784,823318,828789,836507
162,12,000,35050,00000,00000,Jacksonville Beach city,Florida,21362,21362,21382,21487,21682
162,12,000,35200,00000,00000,Jacob City city,Florida,250,250,250,248,244
162,12,000,35375,00000,00000,Jasper city,Florida,4546,4546,4460,4380,4452
162,12,000,35425,00000,00000,Jay town,Florida,533,533,535,541,549
162,12,000,35525,00000,00000,Jennings town,Florida,878,878,873,870,875
162,12,000,35850,00000,00000,Juno Beach town,Florida,3176,3176,3184,3208,3247
162,12,000,35875,00000,00000,Jupiter town,Florida,55156,55276,55448,56204,57221
162,12,000,35900,00000,00000,Jupiter Inlet Colony town,Florida,400,400,401,404,413
162,12,000,35925,00000,00000,Jupiter Island town,Florida,817,817,818,826,837
162,12,000,36175,00000,00000,Kenneth City town,Florida,4980,4980,4977,4978,4995
162,12,000,36300,00000,00000,Key Biscayne village,Florida,12344,12344,12384,12659,12762
162,12,000,36325,00000,00000,Key Colony Beach city,Florida,797,797,798,805,814
162,12,000,36475,00000,00000,Keystone Heights city,Florida,1350,1350,1355,1361,1377
162,12,000,36550,00000,00000,Key West city,Florida,24649,24649,24677,24840,25057
162,12,000,36950,00000,00000,Kissimmee city,Florida,59682,59649,59786,61283,63369
162,12,000,37225,00000,00000,LaBelle city,Florida,4640,4659,4663,4634,4570
162,12,000,37300,00000,00000,La Crosse town,Florida,360,360,360,362,366
162,12,000,37375,00000,00000,Lady Lake town,Florida,13926,13930,13949,13987,14098
162,12,000,37525,00000,00000,Lake Alfred city,Florida,5015,5015,5037,5073,5120
162,12,000,37625,00000,00000,Lake Buena Vista city,Florida,10,10,10,10,10
162,12,000,37650,00000,00000,Lake Butler city,Florida,1897,1898,1897,1858,1839
162,12,000,37775,00000,00000,Lake City city,Florida,12046,12034,12051,12009,12099
162,12,000,37800,00000,00000,Lake Clarke Shores town,Florida,3376,3376,3384,3411,3450
162,12,000,37975,00000,00000,Lake Hamilton town,Florida,1231,1231,1233,1250,1265
162,12,000,38025,00000,00000,Lake Helen city,Florida,2624,2624,2622,2616,2620
162,12,000,38250,00000,00000,Lakeland city,Florida,97422,97430,97855,99078,99999
162,12,000,38425,00000,00000,Lake Mary city,Florida,13822,13822,13824,13952,14574
162,12,000,38600,00000,00000,Lake Park town,Florida,8155,8155,8169,8226,8314
162,12,000,38625,00000,00000,Lake Placid town,Florida,2223,2131,2130,2125,2126
162,12,000,38950,00000,00000,Lake Wales city,Florida,14225,14225,14248,14399,14700
162,12,000,39075,00000,00000,Lake Worth city,Florida,34910,34910,34994,35288,35786
162,12,000,39375,00000,00000,Lantana town,Florida,10423,10423,10442,10514,10627
162,12,000,39425,00000,00000,Largo city,Florida,77648,77849,77774,77676,77878
162,12,000,39475,00000,00000,Lauderdale-by-the-Sea town,Florida,6056,6056,6071,6175,6258
162,12,000,39525,00000,00000,Lauderdale Lakes city,Florida,32593,32653,32740,33305,33772
162,12,000,39550,00000,00000,Lauderhill city,Florida,66887,66887,67053,68177,69100
162,12,000,39650,00000,00000,Laurel Hill city,Florida,537,537,537,542,561
162,12,000,39700,00000,00000,Lawtey city,Florida,730,730,729,725,724
162,12,000,39725,00000,00000,Layton city,Florida,184,184,184,185,186
162,12,000,39750,00000,00000,Lazy Lake village,Florida,24,24,24,25,25
162,12,000,39850,00000,00000,Lee town,Florida,352,352,352,346,340
162,12,000,39875,00000,00000,Leesburg city,Florida,20117,20361,20457,20577,20796
162,12,000,40450,00000,00000,Lighthouse Point city,Florida,10344,10344,10372,10559,10714
162,12,000,40875,00000,00000,Live Oak city,Florida,6850,6850,6853,6937,6919
162,12,000,41150,00000,00000,Longboat Key town,Florida,6888,6888,6896,6921,6993
162,12,000,41250,00000,00000,Longwood city,Florida,13657,13658,13662,13700,13751
162,12,000,41577,00000,00000,Loxahatchee Groves town,Florida,3180,3180,3187,3216,3262
162,12,000,41825,00000,00000,Lynn Haven city,Florida,18493,18493,18568,18694,18974
162,12,000,41950,00000,00000,Macclenny city,Florida,6374,6372,6373,6386,6391
162,12,000,42150,00000,00000,McIntosh town,Florida,452,450,450,451,453
162,12,000,42400,00000,00000,Madeira Beach city,Florida,4263,4263,4262,4266,4283
162,12,000,42425,00000,00000,Madison city,Florida,2843,2843,2839,2807,2769
162,12,000,42575,00000,00000,Maitland city,Florida,15751,15751,15781,16031,16337
162,12,000,42625,00000,00000,Malabar town,Florida,2757,2757,2757,2759,2785
162,12,000,42650,00000,00000,Malone town,Florida,2088,2088,2055,2017,2211
162,12,000,42700,00000,00000,Manalapan town,Florida,406,406,407,414,427
162,12,000,42900,00000,00000,Mangonia Park town,Florida,1888,1888,1892,1906,1928
162,12,000,43000,00000,00000,Marathon city,Florida,8297,8297,8309,8385,8461
162,12,000,43083,00000,00000,Marco Island city,Florida,16413,16413,16459,16644,16820
162,12,000,43125,00000,00000,Margate city,Florida,53284,53284,53413,54301,55026
162,12,000,43175,00000,00000,Marianna city,Florida,6102,7583,7575,7530,9094
162,12,000,43250,00000,00000,Marineland town,Florida,16,16,16,16,16
162,12,000,43375,00000,00000,Mary Esther city,Florida,3851,3851,3850,3910,4059
162,12,000,43425,00000,00000,Mascotte city,Florida,5101,5105,5120,5140,5188
162,12,000,43575,00000,00000,Mayo town,Florida,1237,1214,1220,1236,1245
162,12,000,43900,00000,00000,Medley town,Florida,838,838,839,853,856
162,12,000,43975,00000,00000,Melbourne city,Florida,76068,76201,76365,76564,77048
162,12,000,44000,00000,00000,Melbourne Beach town,Florida,3101,3101,3103,3094,3113
162,12,000,44075,00000,00000,Melbourne Village town,Florida,662,662,662,663,665
