SQL> @rm_duplicate_taxes
** Saint Johns **                                                                                                                   
5577664 Selected 1500                                                                                                               
5577672 Selected 895182                                                                                                             
5577674 Selected 94470                                                                                                              
5593020 Selected 84197                                                                                                              
5593132 Selected 89888                                                                                                              
5593138 Selected 251451                                                                                                             
5593283 Selected 45641                                                                                                              
5593339 Selected 576991                                                                                                             
5593374 Selected 7962                                                                                                               
5593387 Selected 238694                                                                                                             
5600961 Selected 41267                                                                                                              
5600986 Selected 31820                                                                                                              
5601083 Selected 68755                                                                                                              
5499709 Selected 9000                                                                                                               
5499842 Selected 22680                                                                                                              
5499873 Selected 38381                                                                                                              
5499894 Selected 95830                                                                                                              
5499919 Selected 103388                                                                                                             
5499932 Selected 61091                                                                                                              
5499948 Selected 41972                                                                                                              
5499953 Selected 8750                                                                                                               
5500021 Selected 4500                                                                                                               
5500084 Selected 44787                                                                                                              
5507286 Selected 257187                                                                                                             
5507299 Selected 465717                                                                                                             
5507311 Selected 123781                                                                                                             
5507321 Selected 175165                                                                                                             
5507323 Selected 262941                                                                                                             
5507442 Selected 173783                                                                                                             
5507448 Selected 131774                                                                                                             
5507459 Selected 36851                                                                                                              
5507474 Selected 175585                                                                                                             
5507477 Selected 185994                                                                                                             
5507686 Selected 50068                                                                                                              
5522055 Selected 9000                                                                                                               
5522059 Selected 7088                                                                                                               
5537671 Selected 10890                                                                                                              
5537698 Selected 197277                                                                                                             
5545587 Selected 49450                                                                                                              
5545611 Selected 115280                                                                                                             
5545618 Selected 65780                                                                                                              
5545698 Selected 106431                                                                                                             
5545737 Selected 82389                                                                                                              
5545754 Selected 141922                                                                                                             
5545777 Selected 45289                                                                                                              
5545794 Selected 45577                                                                                                              
5545813 Selected 3175                                                                                                               
5545857 Selected 7062                                                                                                               
5553687 Selected 93917                                                                                                              
5569852 Selected 3110442                                                                                                            
5570070 Selected 574762                                                                                                             
5570120 Selected 1950                                                                                                               
5570145 Selected 859082                                                                                                             
5570176 Selected 52094                                                                                                              
5578144 Selected 464155                                                                                                             
5593445 Selected 44040                                                                                                              
5593462 Selected 99245                                                                                                              
5601151 Selected 31570                                                                                                              
5601269 Selected 24082                                                                                                              
5601390 Selected 17350                                                                                                              
5601436 Selected 28856                                                                                                              
5601484 Selected 66145                                                                                                              
5601517 Selected 23112                                                                                                              
5500136 Selected 138649                                                                                                             
5500147 Selected 65000                                                                                                              
5500171 Selected 125868                                                                                                             
5500517 Selected 5000                                                                                                               
5507788 Selected 5000                                                                                                               
5507795 Selected 4896                                                                                                               
5507807 Selected 12597                                                                                                              
5507844 Selected 11500                                                                                                              
5507905 Selected 67852                                                                                                              
5507946 Selected 3000                                                                                                               
5507947 Selected 304324                                                                                                             
5507979 Selected 8750                                                                                                               
5507985 Selected 82421                                                                                                              
5508037 Selected 29695                                                                                                              
5508044 Selected 14383                                                                                                              
5508050 Selected 16807                                                                                                              
5508085 Selected 75652                                                                                                              
5508132 Selected 90001                                                                                                              
5515271 Selected 136332                                                                                                             
5515289 Selected 209305                                                                                                             
5522683 Selected 55361                                                                                                              
5530876 Selected 12528                                                                                                              
5545874 Selected 80544                                                                                                              
5554253 Selected 34633                                                                                                              
5554283 Selected 127831                                                                                                             
5554334 Selected 77574                                                                                                              
5554613 Selected 277605                                                                                                             
5562546 Selected 64810                                                                                                              
5562623 Selected 76767                                                                                                              
5562640 Selected 591677                                                                                                             
5562659 Selected 44573                                                                                                              
5570712 Selected 637867                                                                                                             
5570716 Selected 553018                                                                                                             
5570720 Selected 95805                                                                                                              
5570727 Selected 725423                                                                                                             
5570739 Selected 784210                                                                                                             
5578524 Selected 633675                                                                                                             
5586132 Selected 146152                                                                                                             
5586189 Selected 545238                                                                                                             
5586195 Selected 422224                                                                                                             
5586198 Selected 399974                                                                                                             
5586218 Selected 2934759                                                                                                            
5586272 Selected 303516                                                                                                             
5594204 Selected 2700                                                                                                               
5594206 Selected 8100                                                                                                               
5594278 Selected 153636                                                                                                             
5594311 Selected 122571                                                                                                             
5601664 Selected 60806                                                                                                              
5500935 Selected 807788                                                                                                             
5500970 Selected 629776                                                                                                             
5508324 Selected 127330                                                                                                             
5508333 Selected 10263                                                                                                              
5515426 Selected 151317                                                                                                             
5515474 Selected 4050                                                                                                               
5515510 Selected 216944                                                                                                             
5515604 Selected 318781                                                                                                             
5515606 Selected 345218                                                                                                             
5515620 Selected 149525                                                                                                             
5515647 Selected 71997                                                                                                              
5515834 Selected 3364                                                                                                               
5515847 Selected 14544                                                                                                              
5515851 Selected 40271                                                                                                              
5531274 Selected 34050                                                                                                              
5531305 Selected 22903                                                                                                              
5531310 Selected 51125                                                                                                              
5531316 Selected 11053                                                                                                              
5531317 Selected 119553                                                                                                             
5531427 Selected 91342                                                                                                              
5531436 Selected 2500                                                                                                               
5546451 Selected 66650                                                                                                              
5546474 Selected 122995                                                                                                             
5546498 Selected 40950                                                                                                              
5579008 Selected 641483                                                                                                             
5579010 Selected 23166                                                                                                              
5579060 Selected 488992                                                                                                             
5586843 Selected 219068                                                                                                             
5586928 Selected 105854                                                                                                             
5594455 Selected 25000                                                                                                              
5594655 Selected 23700                                                                                                              
5602089 Selected 57794                                                                                                              
5602091 Selected 58599                                                                                                              
5602168 Selected 39816                                                                                                              
5501147 Selected 197986                                                                                                             
5501155 Selected 44209                                                                                                              
5501277 Selected 39980                                                                                                              
5501285 Selected 11994                                                                                                              
5501329 Selected 39980                                                                                                              
5501351 Selected 268450                                                                                                             
5501363 Selected 118475                                                                                                             
5508648 Selected 64466                                                                                                              
5508664 Selected 57276                                                                                                              
5508674 Selected 60148                                                                                                              
5508693 Selected 8000                                                                                                               
5508898 Selected 53147                                                                                                              
5508899 Selected 203241                                                                                                             
5508902 Selected 90081                                                                                                              
5508927 Selected 1262563                                                                                                            
5508943 Selected 131283                                                                                                             
5508964 Selected 3645                                                                                                               
5509012 Selected 94220                                                                                                              
5509023 Selected 125674                                                                                                             
5509025 Selected 97012                                                                                                              
5509029 Selected 77765                                                                                                              
5515999 Selected 12790                                                                                                              
5516015 Selected 5000                                                                                                               
5516074 Selected 80791                                                                                                              
5516094 Selected 81999                                                                                                              
5516099 Selected 22229                                                                                                              
5516133 Selected 40976                                                                                                              
5516143 Selected 42266                                                                                                              
5516145 Selected 27992                                                                                                              
5516172 Selected 151534                                                                                                             
5523667 Selected 9112                                                                                                               
5523675 Selected 21027                                                                                                              
5523684 Selected 46176                                                                                                              
5523801 Selected 115498                                                                                                             
5523827 Selected 84480                                                                                                              
5523854 Selected 64832                                                                                                              
5523856 Selected 94201                                                                                                              
5523902 Selected 25265                                                                                                              
5523904 Selected 382232                                                                                                             
5523912 Selected 0                                                                                                                  
5531490 Selected 169605                                                                                                             
5531496 Selected 134561                                                                                                             
5531515 Selected 154789                                                                                                             
5531593 Selected 38051                                                                                                              
5531603 Selected 425168                                                                                                             
5531605 Selected 74759                                                                                                              
5531694 Selected 372299                                                                                                             
5539551 Selected 59670                                                                                                              
5539553 Selected 55699                                                                                                              
5539608 Selected 1843                                                                                                               
5539609 Selected 1276                                                                                                               
5547216 Selected 64388                                                                                                              
5547299 Selected 51798                                                                                                              
5555319 Selected 204882                                                                                                             
5555334 Selected 1363755                                                                                                            
5563683 Selected 482040                                                                                                             
5563700 Selected 6435                                                                                                               
5563721 Selected 11700                                                                                                              
5571479 Selected 136562                                                                                                             
5571505 Selected 4036                                                                                                               
5571553 Selected 286930                                                                                                             
5587223 Selected 726507                                                                                                             
5587293 Selected 635936                                                                                                             
5594987 Selected 114520                                                                                                             
5595002 Selected 96478                                                                                                              
5595016 Selected 191109                                                                                                             
5595028 Selected 41960                                                                                                              
5595044 Selected 57364                                                                                                              
5595049 Selected 147993                                                                                                             
5595081 Selected 148137                                                                                                             
5595105 Selected 97806                                                                                                              
5595117 Selected 86016                                                                                                              
5595127 Selected 3500                                                                                                               
5595245 Selected 38830                                                                                                              
5602905 Selected 57865                                                                                                              
5602922 Selected 57743                                                                                                              
5602926 Selected 81925                                                                                                              
5494272 Selected 27213                                                                                                              
5501734 Selected 3480                                                                                                               
5501852 Selected 91540                                                                                                              
5501859 Selected 52597                                                                                                              
5501887 Selected 9191                                                                                                               
5501892 Selected 22119                                                                                                              
5501973 Selected 68147                                                                                                              
5502000 Selected 10834                                                                                                              
5509050 Selected 84015                                                                                                              
5509052 Selected 408990                                                                                                             
5509327 Selected 28373                                                                                                              
5509429 Selected 51857                                                                                                              
5509432 Selected 54674                                                                                                              
5509440 Selected 46401                                                                                                              
5509442 Selected 24507                                                                                                              
5509443 Selected 69600                                                                                                              
5509458 Selected 14445                                                                                                              
5509477 Selected 20191                                                                                                              
5509488 Selected 60497                                                                                                              
5516281 Selected 84724                                                                                                              
5524012 Selected 39148                                                                                                              
5524023 Selected 5085                                                                                                               
5524025 Selected 5468                                                                                                               
5524068 Selected 774618                                                                                                             
5539619 Selected 1843                                                                                                               
5539671 Selected 65165                                                                                                              
5539716 Selected 97054                                                                                                              
5539745 Selected 30000                                                                                                              
5539804 Selected 60231                                                                                                              
5539878 Selected 24077                                                                                                              
5547751 Selected 61470                                                                                                              
5547755 Selected 74600                                                                                                              
5547761 Selected 32768                                                                                                              
5547765 Selected 5589                                                                                                               
5547773 Selected 77374                                                                                                              
5579823 Selected 569554                                                                                                             
5580034 Selected 15193                                                                                                              
5587834 Selected 4728                                                                                                               
5595355 Selected 62163                                                                                                              
5595359 Selected 55658                                                                                                              
5595368 Selected 21150                                                                                                              
5603143 Selected 20142                                                                                                              
5603154 Selected 4000                                                                                                               
5603211 Selected 8000                                                                                                               
5603302 Selected 32420                                                                                                              
5603323 Selected 74398                                                                                                              
5603350 Selected 68365                                                                                                              
5603374 Selected 39574                                                                                                              
5603386 Selected 54832                                                                                                              
5502012 Selected 60708                                                                                                              
5502019 Selected 6488                                                                                                               
5502179 Selected 10935                                                                                                              
5509776 Selected 16000                                                                                                              
5509906 Selected 87153                                                                                                              
5509937 Selected 55618                                                                                                              
5509950 Selected 8000                                                                                                               
5509979 Selected 195711                                                                                                             
5509983 Selected 215703                                                                                                             
5516789 Selected 385996                                                                                                             
5516802 Selected 24937                                                                                                              
5516816 Selected 162730                                                                                                             
5516891 Selected 17511                                                                                                              
5516929 Selected 282249                                                                                                             
5516947 Selected 288380                                                                                                             
5516952 Selected 237003                                                                                                             
5516962 Selected 30481                                                                                                              
5532577 Selected 233933                                                                                                             
5540488 Selected 7695                                                                                                               
5548299 Selected 139962                                                                                                             
5548308 Selected 9413                                                                                                               
5548330 Selected 234395                                                                                                             
5548336 Selected 24676                                                                                                              
5548351 Selected 42750                                                                                                              
5556280 Selected 79302                                                                                                              
5564690 Selected 663361                                                                                                             
5564693 Selected 647981                                                                                                             
5564740 Selected 281407                                                                                                             
5580378 Selected 671749                                                                                                             
5580385 Selected 529606                                                                                                             
5588111 Selected 3465872                                                                                                            
5588117 Selected 60000                                                                                                              
5588168 Selected 129834                                                                                                             
5588186 Selected 3177462                                                                                                            
5588570 Selected 1215645                                                                                                            
5596327 Selected 20477                                                                                                              
5603456 Selected 70610                                                                                                              
5603476 Selected 51050                                                                                                              
5603495 Selected 51469                                                                                                              
5603502 Selected 41369                                                                                                              
5603604 Selected 44592                                                                                                              
5603614 Selected 67491                                                                                                              
5603627 Selected 72604                                                                                                              
5603628 Selected 78116                                                                                                              
5603638 Selected 147973                                                                                                             
5603816 Selected 77858                                                                                                              
5495082 Selected 301397                                                                                                             
5495178 Selected 220315                                                                                                             
5495212 Selected 107650                                                                                                             
5495223 Selected 158256                                                                                                             
5495260 Selected 309984                                                                                                             
5495266 Selected 990                                                                                                                
5495285 Selected 210153                                                                                                             
5495348 Selected 34596                                                                                                              
5495352 Selected 91000                                                                                                              
5502975 Selected 1075280                                                                                                            
5502985 Selected 49318                                                                                                              
5502989 Selected 611130                                                                                                             
5510025 Selected 119616                                                                                                             
5510043 Selected 118450                                                                                                             
5510044 Selected 173931                                                                                                             
5510049 Selected 104350                                                                                                             
5510226 Selected 296400                                                                                                             
5510293 Selected 2508543                                                                                                            
5510312 Selected 74051                                                                                                              
5510442 Selected 3805                                                                                                               
5510445 Selected 92880                                                                                                              
5510459 Selected 2843                                                                                                               
